,x_0,y_0
0,984.0,325.0
1,984.0,325.0
2,984.0,325.0
3,984.0,325.0
4,984.0,325.0
5,984.0,325.0
6,984.0,325.0
7,984.0,325.0
8,984.0,325.0
9,984.0,325.0
10,984.0,325.0
11,984.0,325.0
12,984.0,325.0
13,984.0,325.0
14,984.0,325.0
15,984.0,325.0
16,978.0,348.0
17,969.8571428571429,377.57142857142856
18,961.7142857142857,407.14285714285717
19,953.5714285714286,436.7142857142857
20,945.4285714285714,466.2857142857143
21,937.2857142857143,495.8571428571429
22,929.1428571428571,525.4285714285714
23,921.0,555.0
24,918.0,574.0
25,918.0,574.0
26,904.0,613.0
27,895.0,644.0
28,886.0,649.0
29,877.0,654.0
30,870.0,658.0
31,870.0,658.0
32,861.0,664.0
33,853.0,672.0
34,846.0,679.0
35,837.0,688.0
36,827.0,695.0
37,829.0,697.0
38,821.0,707.0
39,815.0,716.0
40,804.0,730.0
41,794.0,741.0
42,789.0,756.0
43,789.0,756.0
44,781.0,771.0
45,782.0,749.0
46,786.0,732.0
47,794.0,699.0
48,800.0,679.0
49,799.0,675.0
50,804.0,651.0
51,807.0,640.0
52,814.0,620.0
53,819.0,593.0
54,819.0,579.0
55,819.0,579.0
56,825.0,562.0
57,831.0,546.0
58,834.0,532.0
59,833.5,668.5
60,833.0,805.0
61,833.0,805.0
62,837.5714285714286,751.0
63,842.1428571428571,697.0
64,846.7142857142857,643.0
65,851.2857142857143,589.0
66,855.8571428571429,535.0
67,860.4285714285714,481.0
68,865.0,427.0
69,867.0,418.0
70,871.0,409.0
71,872.0,400.0
72,877.0,392.0
73,877.0,392.0
74,877.0,385.0
75,882.0,378.0
76,883.0,369.0
77,887.0,366.0
78,890.0,358.0
79,889.0,358.0
80,892.0,352.0
81,894.0,346.0
82,897.0,340.0
83,897.0,335.0
84,900.0,332.0
85,901.0,331.0
86,902.0,329.0
87,905.0,326.0
88,906.0,324.0
89,908.0,320.0
90,909.0,317.0
91,909.0,317.0
92,912.0,315.0
93,914.0,315.0
94,916.0,310.0
95,917.0,306.0
96,919.0,307.0
97,919.0,307.0
98,922.0,305.0
99,923.0,307.0
100,923.0,307.0
101,926.0,306.0
102,927.0,307.0
103,927.0,307.0
104,929.0,307.0
105,931.0,307.0
106,933.0,307.0
107,934.0,307.0
108,936.0,309.0
109,935.0,310.0
110,937.0,311.0
111,936.0,313.0
112,938.0,314.0
113,940.0,316.0
114,940.0,319.0
115,942.0,318.0
116,942.0,322.0
117,943.0,324.0
118,945.0,324.0
119,944.0,317.0
120,944.0,306.0
121,945.0,307.0
122,945.6666666666666,299.3333333333333
123,946.3333333333334,291.6666666666667
124,947.0,284.0
125,947.0,278.0
126,949.0,274.0
127,949.0,274.0
128,949.0,268.0
129,949.0,262.0
130,949.0,256.0
131,949.0,250.0
132,950.0,245.0
133,950.0,245.0
134,949.0,243.0
135,947.3333333333334,241.33333333333334
136,945.6666666666666,239.66666666666666
137,944.0,238.0
138,936.0,242.0
139,937.0,241.0
140,932.0,243.0
141,928.0,246.0
142,921.0,248.0
143,915.0,252.0
144,910.0,256.0
145,910.0,256.0
146,906.0,264.0
147,900.0,268.0
148,897.0,271.0
149,890.0,278.0
150,883.0,286.0
151,883.0,286.0
152,879.0,295.0
153,873.0,300.0
154,870.0,309.0
155,863.0,318.0
156,858.0,329.0
157,858.0,329.0
158,851.0,338.0
159,846.0,349.0
160,840.0,359.0
161,835.0,371.0
162,830.0,384.0
163,830.0,384.0
164,825.0,397.0
165,818.0,410.0
166,812.0,424.0
167,807.25,437.875
168,802.5,451.75
169,797.75,465.625
170,793.0,479.5
171,788.25,493.375
172,783.5,507.25
173,778.75,521.125
174,774.0,535.0
175,773.0,537.0
176,768.0,550.0
177,761.0,572.0
178,754.0,592.0
179,750.0,615.0
180,748.0,624.0
181,748.0,624.0
182,740.0,652.0
183,730.0,673.0
184,728.0,698.0
185,721.0,722.0
186,718.0,733.0
187,718.0,733.0
188,715.0,731.0
189,709.0,730.0
190,706.0,728.0
191,702.0,727.0
192,697.0,729.0
193,697.0,729.0
194,692.0,728.0
195,688.0,730.0
196,684.0,730.0
197,678.0,731.0
198,675.0,734.0
199,675.0,734.0
200,673.0,737.0
201,667.0,741.0
202,664.0,743.0
203,659.0,749.0
204,654.0,754.0
205,654.0,754.0
206,650.0,759.0
207,646.0,766.0
208,641.0,773.0
209,637.0,780.0
210,633.0,787.0
211,633.0,787.0
212,630.0,796.0
213,625.0,804.0
214,629.0,772.0
215,632.0,737.0
216,636.0,722.0
217,636.0,718.0
218,640.0,697.0
219,645.0,660.0
220,650.0,635.0
221,651.0,618.0
222,652.0,598.0
223,654.0,591.0
224,654.0,578.0
225,656.0,560.0
226,659.0,544.0
227,662.0,525.0
228,663.5,514.25
229,665.0,503.5
230,666.5,492.75
231,668.0,482.0
232,670.3333333333334,470.6666666666667
233,672.6666666666666,459.3333333333333
234,675.0,448.0
235,675.0,448.0
236,676.0,437.5
237,677.0,427.0
238,677.0,419.0
239,678.0,410.0
240,678.0,404.0
241,678.0,404.0
242,679.0,394.0
243,682.0,394.0
244,682.0,385.0
245,682.0,380.0
246,683.0,374.0
247,683.0,374.0
248,684.0,370.0
249,684.0,367.0
250,684.0,364.0
251,685.0,361.0
252,686.0,359.0
253,686.0,359.0
254,686.0,357.0
255,686.0,356.0
256,687.0,353.0
257,686.0,353.0
258,687.0,352.0
259,687.0,352.0
260,688.0,350.0
261,687.0,339.0
262,685.0,329.0
263,687.0,318.0
264,687.0,309.0
265,687.0,309.0
266,686.0,302.0
267,686.0,293.0
268,687.0,283.0
269,688.0,274.0
270,688.0,268.0
271,688.0,268.0
272,689.0,261.0
273,688.0,256.0
274,688.0,250.0
275,688.0,244.0
276,689.0,237.0
277,689.0,237.0
278,688.0,235.0
279,690.0,231.0
280,689.0,227.0
281,692.0,226.0
282,696.8666666666667,226.8
283,701.7333333333333,227.6
284,706.6,228.4
285,711.4666666666667,229.2
286,716.3333333333334,230.0
287,721.2,230.8
288,726.0666666666666,231.6
289,730.9333333333333,232.4
290,735.8,233.2
291,740.6666666666666,234.0
292,745.5333333333333,234.8
293,750.4,235.6
294,755.2666666666667,236.4
295,760.1333333333333,237.2
296,765.0,238.0
297,769.0,242.0
298,774.0,242.0
299,779.0,247.0
300,787.0,250.0
301,787.0,250.0
302,793.0,253.0
303,800.0,256.0
304,806.0,261.0
305,812.0,263.0
306,820.0,266.0
307,820.0,266.0
308,826.0,271.0
309,832.0,274.0
310,840.0,279.0
311,845.0,283.0
312,851.0,289.0
313,852.0,289.0
314,858.0,296.0
315,866.0,299.0
316,874.0,306.0
317,879.0,312.0
318,888.0,318.0
319,888.0,318.0
320,893.0,323.0
321,900.0,330.0
322,908.0,338.0
323,914.0,344.0
324,922.0,350.0
325,922.0,350.0
326,928.0,360.0
327,937.0,367.0
328,945.0,378.0
329,950.0,384.0
330,955.6666666666666,390.0
331,961.3333333333334,396.0
332,967.0,402.0
333,974.0,411.0
334,980.0,421.0
335,989.0,428.0
336,995.5,437.0
337,1002.0,446.0
338,1008.5,455.0
339,1015.0,464.0
340,1021.5,473.0
341,1028.0,482.0
342,1034.5,491.0
343,1041.0,500.0
344,1047.5,509.0
345,1054.0,518.0
346,1061.0,533.0
347,1066.0,543.0
348,1076.0,557.0
349,1077.0,558.0
350,1087.0,569.0
351,1093.0,585.0
352,1100.0,602.0
353,1110.0,614.0
354,1119.0,629.0
355,1118.0,629.0
356,1127.0,643.0
357,1133.2857142857142,648.4285714285714
358,1139.5714285714287,653.8571428571429
359,1145.857142857143,659.2857142857143
360,1152.142857142857,664.7142857142857
361,1158.4285714285713,670.1428571428571
362,1164.7142857142858,675.5714285714286
363,1171.0,681.0
364,1177.2857142857142,686.4285714285714
365,1183.5714285714287,691.8571428571429
366,1189.857142857143,697.2857142857143
367,1196.142857142857,702.7142857142857
368,1202.4285714285713,708.1428571428571
369,1208.7142857142858,713.5714285714286
370,1215.0,719.0
371,1222.0,721.0
372,1227.0,718.0
373,1226.0,720.0
374,1233.0,719.0
375,1238.0,719.0
376,1243.0,724.0
377,1247.5,724.5
378,1252.0,725.0
379,1256.5,725.5
380,1261.0,726.0
381,1268.0,728.0
382,1275.0,730.0
383,1280.0,734.0
384,1287.0,737.0
385,1287.0,737.0
386,1293.0,742.0
387,1299.0,745.0
388,1304.0,749.0
389,1302.5,719.0
390,1301.0,689.0
391,1301.0,689.0
392,1297.0,670.0
393,1293.0,651.0
394,1289.0,621.0
395,1285.0,598.0
396,1280.0,571.0
397,1280.0,571.0
398,1277.0,552.0
399,1270.888888888889,582.0
400,1264.7777777777778,612.0
401,1258.6666666666667,642.0
402,1252.5555555555557,672.0
403,1246.4444444444443,702.0
404,1240.3333333333333,732.0
405,1234.2222222222222,762.0
406,1228.111111111111,792.0
407,1222.0,822.0
408,1249.0,417.0
409,1249.0,417.0
410,1246.0,409.0
411,1242.0,399.0
412,1239.0,392.0
413,1237.0,384.0
414,1234.0,379.0
415,1234.0,379.0
416,1231.0,373.0
417,1230.0,367.0
418,1227.0,364.0
419,1225.0,361.0
420,1222.0,358.0
421,1222.0,358.0
422,1220.0,356.0
423,1219.0,353.0
424,1214.0,353.0
425,1212.0,352.0
426,1209.0,350.0
427,1209.0,350.0
428,1207.0,351.0
429,1206.0,350.0
430,1204.0,352.0
431,1202.0,350.0
432,1202.0,335.0
433,1202.0,335.0
434,1200.0,324.0
435,1198.0,313.0
436,1175.0,789.0
437,1194.0,292.0
438,1195.0,281.0
439,1195.0,281.0
440,1194.0,273.0
441,1191.0,263.0
442,1191.0,256.0
443,1191.0,247.0
444,1190.0,239.0
445,1190.0,239.0
446,1189.0,234.0
447,1189.0,228.0
448,1189.0,221.0
449,1185.0,216.0
450,1187.0,212.0
451,1187.0,212.0
452,1184.0,209.0
453,1183.0,205.0
454,1184.0,200.0
455,1181.0,197.0
456,1180.0,193.0
457,1180.0,193.0
458,1175.2702702702702,206.54054054054055
459,1170.5405405405406,220.0810810810811
460,1165.8108108108108,233.6216216216216
461,1161.081081081081,247.16216216216216
462,1156.3513513513512,260.7027027027027
463,1151.6216216216217,274.2432432432432
464,1146.8918918918919,287.78378378378375
465,1142.162162162162,301.3243243243243
466,1137.4324324324325,314.8648648648649
467,1132.7027027027027,328.4054054054054
468,1127.972972972973,341.94594594594594
469,1123.2432432432433,355.48648648648646
470,1118.5135135135135,369.02702702702703
471,1113.7837837837837,382.56756756756755
472,1109.054054054054,396.1081081081081
473,1104.3243243243244,409.64864864864865
474,1099.5945945945946,423.18918918918916
475,1094.8648648648648,436.72972972972974
476,1090.1351351351352,450.27027027027026
477,1085.4054054054054,463.81081081081084
478,1080.6756756756756,477.35135135135135
479,1075.9459459459458,490.8918918918919
480,1071.2162162162163,504.43243243243245
481,1066.4864864864865,517.9729729729729
482,1061.7567567567567,531.5135135135135
483,1057.027027027027,545.0540540540541
484,1052.2972972972973,558.5945945945946
485,1047.5675675675675,572.1351351351351
486,1042.837837837838,585.6756756756756
487,1038.1081081081081,599.2162162162163
488,1033.3783783783783,612.7567567567568
489,1028.6486486486488,626.2972972972973
490,1023.918918918919,639.8378378378378
491,1019.1891891891892,653.3783783783783
492,1014.4594594594595,666.918918918919
493,1009.7297297297298,680.4594594594595
494,1005.0,694.0
495,1002.5,692.9
496,1000.0,691.8
497,997.5,690.7
498,995.0,689.6
499,992.5,688.5
500,990.0,687.4
501,987.5,686.3
502,985.0,685.2
503,982.5,684.1
504,980.0,683.0
505,977.2941176470588,683.2941176470588
506,974.5882352941177,683.5882352941177
507,971.8823529411765,683.8823529411765
508,969.1764705882352,684.1764705882352
509,966.4705882352941,684.4705882352941
510,963.7647058823529,684.7647058823529
511,961.0588235294117,685.0588235294117
512,958.3529411764706,685.3529411764706
513,955.6470588235294,685.6470588235294
514,952.9411764705883,685.9411764705883
515,950.2352941176471,686.2352941176471
516,947.5294117647059,686.5294117647059
517,944.8235294117648,686.8235294117648
518,942.1176470588235,687.1176470588235
519,939.4117647058823,687.4117647058823
520,936.7058823529412,687.7058823529412
521,934.0,688.0
522,933.3658536585366,676.390243902439
523,932.7317073170732,664.780487804878
524,932.0975609756098,653.170731707317
525,931.4634146341464,641.560975609756
526,930.829268292683,629.9512195121952
527,930.1951219512196,618.3414634146342
528,929.560975609756,606.7317073170732
529,928.9268292682926,595.1219512195122
530,928.2926829268292,583.5121951219512
531,927.6585365853658,571.9024390243902
532,927.0243902439024,560.2926829268292
533,926.390243902439,548.6829268292684
534,925.7560975609756,537.0731707317073
535,925.1219512195122,525.4634146341464
536,924.4878048780488,513.8536585365854
537,923.8536585365854,502.2439024390244
538,923.219512195122,490.6341463414634
539,922.5853658536586,479.0243902439024
540,921.9512195121952,467.4146341463415
541,921.3170731707318,455.8048780487805
542,920.6829268292682,444.1951219512195
543,920.0487804878048,432.5853658536586
544,919.4146341463414,420.9756097560976
545,918.780487804878,409.3658536585366
546,918.1463414634146,397.7560975609756
547,917.5121951219512,386.1463414634146
548,916.8780487804878,374.5365853658537
549,916.2439024390244,362.9268292682927
550,915.609756097561,351.3170731707317
551,914.9756097560976,339.70731707317077
552,914.3414634146342,328.0975609756098
553,913.7073170731708,316.4878048780488
554,913.0731707317074,304.8780487804878
555,912.439024390244,293.2682926829268
556,911.8048780487804,281.6585365853659
557,911.170731707317,270.0487804878049
558,910.5365853658536,258.4390243902439
559,909.9024390243902,246.82926829268297
560,909.2682926829268,235.21951219512198
561,908.6341463414634,223.609756097561
562,908.0,212.0
563,906.0,222.0
564,900.0,236.0
565,900.0,236.0
566,897.0,248.0
567,893.0,263.0
568,888.0,276.0
569,883.0,292.0
570,879.0,304.0
571,879.0,304.0
572,876.0,321.0
573,873.0,334.0
574,866.0,349.0
575,863.0,365.0
576,859.0,385.0
577,859.0,385.0
578,856.0,400.0
579,850.0,413.0
580,849.0,412.0
581,845.0,413.0
582,840.0,414.0
583,840.0,414.0
584,838.0,414.0
585,834.0,415.0
586,830.0,415.0
587,828.0,416.0
588,825.0,416.0
589,824.0,415.0
590,821.0,419.0
591,817.0,421.0
592,815.0,424.0
593,810.0,425.0
594,809.0,425.0
595,809.0,423.0
596,805.0,405.0
597,804.0,378.0
598,803.0,360.0
599,799.0,340.0
600,799.0,324.0
601,799.0,324.0
602,797.0,307.0
603,794.5,290.5
604,792.0,274.0
605,791.0,259.0
606,788.0,250.0
607,811.0,658.0
608,785.0,238.0
609,786.0,224.0
610,790.3333333333334,296.6666666666667
611,794.6666666666666,369.33333333333337
612,799.0,442.0
613,803.3333333333334,514.6666666666667
614,807.6666666666666,587.3333333333334
615,812.0,660.0
616,812.0,658.5
617,812.0,657.0
618,812.6666666666666,657.0
619,813.3333333333334,657.0
620,814.0,657.0
621,814.4166666666666,639.9583333333334
622,814.8333333333334,622.9166666666666
623,815.25,605.875
624,815.6666666666666,588.8333333333334
625,816.0833333333334,571.7916666666666
626,816.5,554.75
627,816.9166666666666,537.7083333333334
628,817.3333333333334,520.6666666666666
629,817.75,503.625
630,818.1666666666666,486.5833333333333
631,818.5833333333334,469.54166666666663
632,819.0,452.5
633,819.4166666666666,435.4583333333333
634,819.8333333333334,418.41666666666663
635,820.25,401.375
636,820.6666666666666,384.3333333333333
637,821.0833333333334,367.29166666666663
638,821.5,350.25
639,821.9166666666666,333.2083333333333
640,822.3333333333334,316.16666666666663
641,822.75,299.125
642,823.1666666666666,282.0833333333333
643,823.5833333333334,265.04166666666663
644,824.0,248.0
645,830.0,263.0
646,836.0,275.0
647,839.0,287.0
648,843.3333333333334,298.0
649,847.6666666666666,309.0
650,852.0,320.0
651,858.0,334.0
652,861.0,351.0
653,868.0,366.0
654,873.0,385.0
655,872.0,382.0
656,878.0,401.0
657,879.0,414.0
658,881.3333333333334,414.6666666666667
659,883.6666666666666,415.3333333333333
660,886.0,416.0
661,888.3333333333334,416.6666666666667
662,890.6666666666666,417.3333333333333
663,893.0,418.0
664,895.3333333333334,418.6666666666667
665,897.6666666666666,419.3333333333333
666,900.0,420.0
667,902.3333333333334,420.6666666666667
668,904.6666666666666,421.3333333333333
669,907.0,422.0
670,909.3333333333334,422.6666666666667
671,911.6666666666666,423.3333333333333
672,914.0,424.0
673,916.3333333333334,424.6666666666667
674,918.6666666666666,425.3333333333333
675,921.0,426.0
676,923.3333333333334,426.6666666666667
677,925.6666666666666,427.3333333333333
678,928.0,428.0
679,930.3333333333334,428.6666666666667
680,932.6666666666666,429.3333333333333
681,935.0,430.0
682,937.3333333333334,430.6666666666667
683,939.6666666666666,431.3333333333333
684,942.0,432.0
685,942.0,432.0
686,944.0,425.0
687,945.0,418.0
688,946.0,413.0
689,949.0,407.0
690,948.0,401.0
691,948.0,401.0
692,949.0,396.0
693,948.0,393.0
694,952.0,389.0
695,952.0,385.0
696,954.0,381.0
697,954.0,381.0
698,954.0,378.0
699,954.0,375.0
700,955.0,372.0
701,956.0,369.0
702,956.0,368.0
703,956.0,368.0
704,956.0,368.0
705,960.0,365.0
706,959.0,363.0
707,960.0,364.0
708,961.0,364.0
709,961.0,364.0
710,962.0,361.0
711,963.0,364.0
712,962.0,364.0
713,964.0,365.0
714,966.0,367.0
715,966.0,367.0
716,967.0,367.0
717,967.0,370.0
718,966.0,371.0
719,968.0,374.0
720,969.0,377.0
721,969.0,377.0
722,969.0,381.0
723,969.0,384.0
724,969.0,388.0
725,970.0,391.0
726,971.0,394.0
727,971.0,394.0
728,971.0,399.0
729,972.0,404.0
730,973.0,409.0
731,974.0,413.0
732,973.0,418.0
733,973.0,418.0
734,973.0,424.0
735,973.0,430.0
736,972.0,437.0
737,990.6,473.2
738,1009.2,509.4
739,1027.8,545.6
740,1046.4,581.8
741,1065.0,618.0
742,1046.6,580.4
743,1028.2,542.8
744,1009.8,505.2
745,991.4,467.6
746,973.0,430.0
747,974.0,425.0
748,974.0,416.0
749,974.0,411.0
750,972.0,407.0
751,972.0,407.0
752,973.0,403.0
753,972.75,397.75
754,972.5,392.5
755,972.25,387.25
756,972.0,382.0
757,971.0,384.0
758,971.0,380.0
759,971.0,376.0
760,970.025641025641,377.0
761,969.0512820512821,378.0
762,968.0769230769231,379.0
763,967.1025641025641,380.0
764,966.1282051282051,381.0
765,965.1538461538462,382.0
766,964.1794871794872,383.0
767,963.2051282051282,384.0
768,962.2307692307693,385.0
769,961.2564102564103,386.0
770,960.2820512820513,387.0
771,959.3076923076923,388.0
772,958.3333333333334,389.0
773,957.3589743589744,390.0
774,956.3846153846154,391.0
775,955.4102564102565,392.0
776,954.4358974358975,393.0
777,953.4615384615385,394.0
778,952.4871794871794,395.0
779,951.5128205128206,396.0
780,950.5384615384615,397.0
781,949.5641025641025,398.0
782,948.5897435897436,399.0
783,947.6153846153846,400.0
784,946.6410256410256,401.0
785,945.6666666666666,402.0
786,944.6923076923077,403.0
787,943.7179487179487,404.0
788,942.7435897435897,405.0
789,941.7692307692307,406.0
790,940.7948717948718,407.0
791,939.8205128205128,408.0
792,938.8461538461538,409.0
793,937.8717948717949,410.0
794,936.8974358974359,411.0
795,935.9230769230769,412.0
796,934.9487179487179,413.0
797,933.974358974359,414.0
798,933.0,415.0
799,934.0,414.0
800,930.0,415.0
801,920.0,413.0
802,914.0,414.0
803,908.0,416.0
804,903.0,417.0
805,902.0,416.0
806,894.0,418.0
807,887.0,421.0
808,883.0,422.0
809,873.0,425.0
810,867.0,428.0
811,868.0,429.0
812,860.0,434.0
813,852.0,438.0
814,915.0,531.5
815,978.0,625.0
816,965.0526315789474,620.8947368421053
817,952.1052631578947,616.7894736842105
818,939.1578947368421,612.6842105263158
819,926.2105263157895,608.578947368421
820,913.2631578947369,604.4736842105264
821,900.3157894736842,600.3684210526316
822,887.3684210526316,596.2631578947369
823,874.421052631579,592.1578947368421
824,861.4736842105264,588.0526315789474
825,848.5263157894736,583.9473684210526
826,835.578947368421,579.8421052631579
827,822.6315789473684,575.7368421052631
828,809.6842105263158,571.6315789473684
829,796.7368421052631,567.5263157894736
830,783.7894736842105,563.421052631579
831,770.8421052631579,559.3157894736842
832,757.8947368421052,555.2105263157895
833,744.9473684210526,551.1052631578947
834,732.0,547.0
835,732.0,546.0
836,735.4,533.9
837,738.8,521.8
838,742.2,509.7
839,745.6,497.6
840,749.0,485.5
841,752.4,473.4
842,755.8,461.3
843,759.2,449.2
844,762.6,437.1
845,766.0,425.0
846,770.0,413.0
847,769.0,414.0
848,773.0,404.0
849,777.0,392.0
850,780.0,384.0
851,783.0,374.0
852,788.0,363.0
853,788.0,363.0
854,791.0,354.0
855,794.0,346.0
856,799.0,339.0
857,802.0,331.0
858,806.0,324.0
859,806.0,324.0
860,808.0,319.0
861,813.0,312.0
862,814.0,304.0
863,818.0,299.0
864,823.0,294.0
865,823.0,294.0
866,827.0,289.0
867,828.0,285.0
868,832.0,280.0
869,835.0,276.0
870,838.0,274.0
871,838.0,274.0
872,842.0,269.0
873,845.0,268.0
874,848.0,265.0
875,852.0,264.0
876,864.7222222222222,282.3333333333333
877,877.4444444444445,300.6666666666667
878,890.1666666666666,319.0
879,902.8888888888889,337.3333333333333
880,915.6111111111111,355.66666666666663
881,928.3333333333334,374.0
882,941.0555555555555,392.3333333333333
883,953.7777777777778,410.66666666666663
884,966.5,429.0
885,979.2222222222222,447.3333333333333
886,991.9444444444445,465.66666666666663
887,1004.6666666666666,484.0
888,1017.3888888888889,502.3333333333333
889,1030.111111111111,520.6666666666666
890,1042.8333333333333,539.0
891,1055.5555555555557,557.3333333333333
892,1068.2777777777778,575.6666666666666
893,1081.0,594.0
894,1091.0,586.0
895,1091.0,586.0
896,1103.0,573.0
897,1113.0,564.0
898,1126.0,553.0
899,1140.0,542.0
900,1150.0,533.0
901,1150.0,533.0
902,1163.0,523.0
903,1163.0,523.0
904,1163.0,523.0
905,1163.0,523.0
906,1163.0,523.0
907,1163.0,523.0
908,1163.0,523.0
909,1163.0,523.0
910,1163.0,523.0
911,1163.0,523.0
912,1163.0,523.0
913,1163.0,523.0
914,1163.0,523.0
915,1163.0,523.0
916,1163.0,523.0
917,1163.0,523.0
918,1163.0,523.0
919,1163.0,523.0
920,1163.0,523.0
921,1163.0,523.0
922,1163.0,523.0
923,1163.0,523.0
924,1163.0,523.0
